Bp_ConsBp_seq_M,Bp_ConsBp_seq_status,Bp_L0HadronDecision_TOS,Bp_L0HadronDecision_TIS,Bp_L0MuonDecision_TIS,Bp_L0ElectronDecision_TIS,Bp_L0PhotonDecision_TIS,Bp_Hlt1TrackMVADecision_TOS,Bp_Hlt1TwoTrackMVADecision_TOS,Bp_Hlt2Topo2BodyDecision_TOS,Bp_Hlt2Topo3BodyDecision_TOS,Bp_Hlt2Topo4BodyDecision_TOS,Bp_ConsBp_seq_decayLength,Bp_ConsBp_seq_tauminus_0_decayLength,Bp_ConsBp_seq_tauminus_decayLength,taup_DIRA_ORIVX,taum_DIRA_ORIVX,Bp_DIRA_OWNPV,taup_ENDVERTEX_X,taum_ENDVERTEX_X,taup_ENDVERTEX_Y,taum_ENDVERTEX_Y,taup_ENDVERTEX_Z,taum_ENDVERTEX_Z,Bp_ConsBp_seq_chi2
5816.272,0.0,False,False,False,True,False,True,True,True,True,True,19.960257,12.891619,-0.90114963,0.999986555727065,0.9999998374841071,0.9999949515754587,-0.1868,-0.8937,0.6151,0.9459,13.5048,27.2316,8.042031
6034.113,0.0,False,False,False,False,False,False,False,False,False,False,12.724015,3.8051214,2.4884927,0.9999741496545931,0.999988114790395,0.99996831083367,-0.8999,-0.8827,-1.0488,-1.0669,82.1806,83.4283,10.534893
5212.8354,0.0,False,False,False,False,False,False,False,False,False,False,29.665947,0.6219861,1.6957166,0.9999680995487432,0.9998671183646038,0.9999703640061565,-2.6019,-2.5127,-2.2385,-2.1186,98.194,97.1318,4.6820474
24537.885,0.0,False,False,False,False,False,False,False,False,False,False,22.9819,0.26221716,-0.46226448,-0.9998071277598992,0.9974852945477388,0.9999901828436678,-1.673,-1.743,-1.5562,-1.6014,89.4505,90.1157,11.662359
4872.6685,0.0,False,False,False,False,False,False,False,False,False,False,25.99801,-2.9695883,4.6626477,0.9999992710872176,-0.9999980051040104,0.999999849331754,2.5635,2.1756,-0.3069,-0.1424,-3.1361,-10.645,4.7561426
5074.7236,0.0,False,False,False,False,False,False,False,False,False,False,33.56638,1.0805845,4.069198,0.9999942840672847,0.9977445961673017,0.9999859209133357,3.073,2.829,-0.3725,-0.33,3.7766,0.7084,4.65048
5741.3086,0.0,False,False,False,False,False,False,False,False,False,False,7.507141,0.36490223,0.92241275,0.9999983295841085,0.9998869777678063,0.9999983537805349,0.1574,0.2616,0.8098,0.7994,51.3499,50.7865,4.125511
4936.9707,0.0,False,False,False,False,False,False,False,False,False,False,13.146953,1.8288581,3.8199627,0.9999158937468683,0.999871211316457,0.9999388265713476,-0.549,-0.2958,1.4397,1.3535,59.8034,57.8037,6.7699337
4814.198,0.0,False,False,True,True,True,True,True,False,True,False,15.743455,4.3384504,1.0542488,0.998773333070603,0.9999934656011665,0.9999954959264145,1.0705,1.2325,-1.2668,-1.614,53.3776,56.6399,8.115515
36324.652,0.0,False,False,False,False,False,False,False,False,False,False,-13.93051,-0.47061554,0.6800982,-0.9988425159756146,0.9994578948807628,0.9999991764456683,1.9036,2.0031,-0.1277,-0.1365,45.1019,46.1371,6.7782125
5173.994,0.0,False,False,False,False,False,False,False,False,False,False,33.323692,3.9731965,-0.7346917,-0.99969497338667,0.9999764739366224,0.9999889071742981,3.435,3.8636,-0.4723,-0.5352,64.1847,68.9248,5.447862
5010.8594,0.0,False,True,False,False,False,True,True,True,True,True,36.053444,-0.12059612,7.0634484,0.9999981172908163,-0.999450291829064,0.99999917808006,0.0212,0.1855,-1.3207,-1.1253,-3.9614,-11.3803,6.193579
-3094.8699,0.0,False,False,True,False,False,True,True,True,True,True,27.159601,2.5351994,-0.054855183,-0.4396340685300217,0.9999867338815183,0.9999828742198715,0.1405,0.0796,1.3099,1.4005,35.825,38.2335,3.343241
4767.8184,0.0,True,False,False,False,False,True,True,True,True,True,18.934282,3.8110268,3.0937932,0.9999834283269641,0.9999765994505119,0.9999773926892442,0.3201,0.3292,2.0394,2.0887,-15.7591,-15.0265,2.4891696
5077.4253,0.0,False,False,False,False,False,False,False,False,False,False,21.022232,2.0089283,4.208961,0.9999906033557812,0.9999970769416477,0.9999578231496018,0.3976,0.2822,2.387,2.1439,-12.4783,-14.6858,4.347716
5655.641,0.0,True,False,False,False,False,True,True,False,True,True,17.762938,1.4110172,9.548132,0.9999997309861353,0.999991636243209,0.999974335800864,-1.0234,-0.3264,-2.6938,-1.9375,100.2826,92.2709,15.098485
5274.2466,0.0,False,False,False,False,False,False,False,False,False,False,24.973778,1.8438568,1.7070445,0.9999787532391909,0.9999252417800261,0.9999508910371292,-0.8027,-0.8161,-2.6926,-2.6759,99.684,99.7866,10.205267
5370.0483,0.0,True,False,True,False,False,True,True,False,True,True,30.873922,2.6443665,1.4636838,0.999442511641741,0.9998796984628386,0.9999532111169042,2.5881,2.6885,5.0364,5.2431,75.2598,76.4185,16.91462
5243.5903,0.0,True,False,True,False,False,True,True,False,True,False,14.671721,2.991255,3.118194,0.999898973944018,0.9998017417565326,0.9999953594258207,1.7443,1.862,2.7402,2.8145,60.9155,60.7584,5.4466963
5392.7144,0.0,True,False,True,False,False,True,True,False,False,False,7.0221796,2.5014713,5.27755,0.9999814594627793,0.9999857842032657,0.9999983628066135,1.6235,1.3692,1.8637,1.6259,55.476,52.7346,17.255322
5226.6084,0.0,True,True,False,True,False,True,True,False,False,False,13.688382,4.6568737,6.158706,0.9999788546481024,0.9998962018162083,0.999959002265913,2.7676,2.7802,1.4896,1.2458,43.2203,41.7675,3.5617383
5977.2534,0.0,False,False,False,False,False,False,False,False,False,False,50.71775,0.3756353,0.48477772,0.999969531939876,0.9993643884368536,0.9999686372374063,6.112,6.1158,3.1561,3.1567,74.3403,74.2151,7.9125233
10508.74,0.0,False,True,False,False,False,True,True,True,True,True,6.4399085,1.2054566,-0.067493275,0.9997933322360923,0.9999377606598607,0.999990543931312,1.5407,1.6248,0.5779,0.5845,29.8788,31.084,2.219939
4849.738,0.0,False,False,False,False,False,False,False,False,False,False,10.6280775,15.509221,1.2262194,-0.9983830492426127,0.9999968617417409,0.999924258681843,2.088,3.5963,0.8195,1.913,35.1774,49.4314,7.5422435
5514.0894,0.0,False,True,False,True,False,True,True,False,True,True,50.137337,0.44384918,8.140658,0.9999887358241585,0.9970187040930939,0.9999989659690808,0.0621,0.0816,-4.0866,-3.4664,81.5987,73.9427,6.254237
19128.17,1.0,False,False,False,False,False,False,False,False,False,False,11.865246,0.14346367,-4.166742,0.99998293286138,0.9988904228230232,0.9999548831900043,2.5106,2.2811,1.0648,0.9908,39.3634,37.1278,22.15408
4767.5835,0.0,True,False,False,False,False,True,True,True,True,True,21.685076,2.621032,-7.8675494,0.9999868654062717,0.999982462358799,0.9999973476805203,1.3612,1.3533,1.4296,1.2452,13.8099,8.5604,7.629334
